controller,metric,n,mean,ci_lo,ci_hi
innov_015,velocity_tracking_error_mps,1080,11.50302917492248,11.356005828259793,11.649092534711341
innov_015,intervention_rate,1080,0.09565740740740741,0.09001462962962964,0.10148972222222222
innov_015,mean_pct_speed_diff,1080,3.6906320355896085,3.4726111769744024,3.926366256738407
innov_015,throughput_mps,1080,6.537507720137849,6.394833549636735,6.678923348949259
innov_020,collision_any,1080,0.03611111111111111,0.025,0.04814814814814815
innov_020,min_ttc,894,1.8217931641820553,1.752727506739288,1.8950339462629735
innov_020,ttc_lt_2_ratio,1080,0.03972222222222223,0.036216620370370364,0.04327050925925926
innov_020,ttc_lt_3_ratio,1080,0.0876888888888889,0.08259805555555556,0.09309828703703703
innov_020,max_abs_accel,1080,10.577552791164802,9.886817629703508,11.33341930573988
innov_020,max_abs_jerk,1080,208.56541933489413,189.37942187637577,228.47930155717023
innov_020,max_abs_accel_f,1080,4.059131915620293,3.9899237449386957,4.128519588800798
innov_020,max_abs_jerk_f,1080,20.05672589323329,19.197388691258176,20.91895807736492
innov_020,mean_speed_mps,1080,6.549213863962401,6.401677069095833,6.692273949322069
innov_020,speed_efficiency_ratio,1080,0.36272569092714835,0.3548224448263525,0.3708494168435164
innov_020,velocity_tracking_error_mps,1080,11.506341691593157,11.368892306923776,11.651517820674906
innov_020,intervention_rate,1080,0.10679814814814816,0.10073074074074075,0.11320754629629631
innov_020,mean_pct_speed_diff,1080,3.9433203904477656,3.7143691594281893,4.17795566562511
innov_020,throughput_mps,1080,6.534236406741522,6.39457875245275,6.6814398292501584
normal,collision_any,1080,0.21574074074074073,0.19074074074074074,0.24074074074074073
normal,min_ttc,899,1.6743821351513597,1.6039401515864777,1.7489028504579798
normal,ttc_lt_2_ratio,1080,0.04850740740740741,0.04497773148148148,0.0522462962962963
normal,ttc_lt_3_ratio,1080,0.10254074074074074,0.09702777777777778,0.1083322685185185
normal,max_abs_accel,1080,14.417242018172105,13.132101554290749,15.926998801650527
normal,max_abs_jerk,1080,299.078011352356,265.47491910008944,339.46053705354615
normal,max_abs_accel_f,1080,4.353421412907893,4.251144533513801,4.47151829474097
normal,max_abs_jerk_f,1080,22.618327644428348,21.480463631935976,23.749065853086968
normal,mean_speed_mps,1080,6.647926619414336,6.501042120390411,6.792160674512698
normal,speed_efficiency_ratio,1080,0.36819285892140946,0.3603597953994878,0.3761617285519284
normal,velocity_tracking_error_mps,1080,11.407672911204928,11.265721019123578,11.553521741823973
normal,intervention_rate,1080,0.0,0.0,0.0
normal,mean_pct_speed_diff,1080,0.8701370370370309,0.6381921450617241,1.1117240432098685
normal,throughput_mps,1080,6.632836423374051,6.48797169722812,6.779567588967951
ttc_20,collision_any,1080,0.07777777777777778,0.062037037037037036,0.09444444444444444
ttc_20,min_ttc,898,1.742931383924367,1.6748346522754018,1.8138745542945582
ttc_20,ttc_lt_2_ratio,1080,0.04660555555555556,0.04292564814814814,0.050520416666666665
ttc_20,ttc_lt_3_ratio,1080,0.10387222222222224,0.09801625,0.10977115740740741
ttc_20,max_abs_accel,1080,11.43348083850591,10.35529702361273,12.851632320815048
ttc_20,max_abs_jerk,1080,227.03059034476044,198.24544968329963,262.7302034068393
ttc_20,max_abs_accel_f,1080,4.134915959027832,4.043998509809123,4.247013557929342
ttc_20,max_abs_jerk_f,1080,19.092013670049678,18.277075730047123,19.90805443517903
ttc_20,mean_speed_mps,1080,6.585270639207768,6.443431458643835,6.732833158682064
ttc_20,speed_efficiency_ratio,1080,0.36472268155612253,0.3563716084816171,0.37273082980870775
ttc_20,velocity_tracking_error_mps,1080,11.470328891411498,11.329458777629862,11.613869922256145
ttc_20,intervention_rate,1080,0.04660555555555556,0.042742314814814816,0.05057078703703703
ttc_20,mean_pct_speed_diff,1080,1.9562847736625453,1.7174955349794194,2.206362520576124
ttc_20,throughput_mps,1080,6.570316807349291,6.423954380491823,6.71488821220799
ttc_25,collision_any,1080,0.06388888888888888,0.05,0.0787037037037037
ttc_25,min_ttc,897,1.7706080026781783,1.7029858806779279,1.8415414468503855
ttc_25,ttc_lt_2_ratio,1080,0.03981111111111111,0.036255370370370375,0.043352083333333326
ttc_25,ttc_lt_3_ratio,1080,0.10252962962962962,0.09669995370370371,0.10864657407407409
ttc_25,max_abs_accel,1080,10.846681653765025,10.053734290883254,11.655203353873645
ttc_25,max_abs_jerk,1080,208.7969300081208,188.1182143282599,230.7800179326148
ttc_25,max_abs_accel_f,1080,4.032919865369361,3.966958095413866,4.0982519633427765
ttc_25,max_abs_jerk_f,1080,19.27641443023761,18.475892963595644,20.103508005568884
ttc_25,mean_speed_mps,1080,6.569202502690932,6.423930391251121,6.71399827907678
ttc_25,speed_efficiency_ratio,1080,0.3638327539951901,0.3556858284745244,0.3718123421877415
ttc_25,velocity_tracking_error_mps,1080,11.486369658056853,11.342927769463468,11.626966992966643
ttc_25,intervention_rate,1080,0.07294074074074075,0.06819439814814815,0.0777310648148148
ttc_25,mean_pct_speed_diff,1080,2.5957423868312692,2.3538670216049336,2.8556720267489637
ttc_25,throughput_mps,1080,6.554331544539725,6.4068017800936055,6.701830950403457
ttc_30,collision_any,1080,0.04722222222222222,0.03518518518518519,0.06018518518518518
ttc_30,min_ttc,898,1.8459562101990914,1.7780760338644113,1.913943087369608
ttc_30,ttc_lt_2_ratio,1080,0.03652037037037036,0.03307402777777778,0.03999263888888889
ttc_30,ttc_lt_3_ratio,1080,0.09761666666666667,0.09180541666666667,0.10345962962962962
ttc_30,max_abs_accel,1080,10.952390600747181,10.247093495601247,11.730704551556233
ttc_30,max_abs_jerk,1080,209.60139151020184,189.96549086914368,230.86994176267908
ttc_30,max_abs_accel_f,1080,3.936640734359459,3.8761470472868123,3.997901645695952
ttc_30,max_abs_jerk_f,1080,20.487740639899553,19.621082491699564,21.40207399255493
ttc_30,mean_speed_mps,1080,6.555286354181315,6.410750686425842,6.705137554900999
ttc_30,speed_efficiency_ratio,1080,0.3630620134623498,0.35497053700647296,0.3709312657669448
ttc_30,velocity_tracking_error_mps,1080,11.500285806566472,11.355858459492776,11.644653932580212
ttc_30,intervention_rate,1080,0.09761666666666667,0.09189810185185185,0.10330375000000001
ttc_30,mean_pct_speed_diff,1080,3.446222222222216,3.189339300411518,3.7175900154320907
ttc_30,throughput_mps,1080,6.540461349725689,6.397750170532835,6.682432148327971
ttc_35,collision_any,1080,0.041666666666666664,0.030555555555555555,0.053703703703703705
ttc_35,min_ttc,898,1.8915468580260004,1.8201893411454864,1.965116931748956
ttc_35,ttc_lt_2_ratio,1080,0.03577407407407407,0.03254060185185185,0.03933523148148148
ttc_35,ttc_lt_3_ratio,1080,0.08027407407407407,0.07532884259259258,0.08536500000000001
ttc_35,max_abs_accel,1080,10.727156732969554,9.968970010049114,11.594052956282319
ttc_35,max_abs_jerk,1080,206.76487837478646,185.84471786910288,230.81215218923782
ttc_35,max_abs_accel_f,1080,3.8698527050262834,3.8004030712799195,3.942746570804791
ttc_35,max_abs_jerk_f,1080,20.13391423179272,19.2822762338638,20.98960415017341
ttc_35,mean_speed_mps,1080,6.5416778687690265,6.395919447066255,6.68564901833536
ttc_35,speed_efficiency_ratio,1080,0.362308312731823,0.35399664186234386,0.3702758749272085
ttc_35,velocity_tracking_error_mps,1080,11.513916077947805,11.366899475102672,11.662201995893048
ttc_35,intervention_rate,1080,0.1176388888888889,0.11108143518518518,0.12428805555555555
ttc_35,mean_pct_speed_diff,1080,4.02510679012345,3.7574667952674843,4.298390869341555
ttc_35,throughput_mps,1080,6.527042678924534,6.383206619694367,6.668587209847399
