seed,feature_perturbed,perturbation_direction,w_original,w_perturbed,B_orig_tau0.10,B_pert_tau0.10,delta_B_tau0.10,abs_delta_B_tau0.10,B_orig_tau0.15,B_pert_tau0.15,delta_B_tau0.15,abs_delta_B_tau0.15,B_orig_tau0.20,B_pert_tau0.20,delta_B_tau0.20,abs_delta_B_tau0.20
seed_2000,jerk,plus20pct,0.1,0.125,0.5133824565716045,0.5516466613974862,0.038264204825881665,0.038264204825881665,0.4939251940970944,0.5275062376422474,0.033581043545152955,0.033581043545152955,0.4765671813065528,0.5122122867760932,0.03564510546954042,0.03564510546954042
seed_2000,jerk,minus20pct,0.1,0.08695652173913046,0.5133824565716045,0.5416509438127661,0.0282684872411616,0.0282684872411616,0.4939251940970944,0.5219861035484002,0.02806090945130585,0.02806090945130585,0.4765671813065528,0.5066066236086223,0.030039442302069508,0.030039442302069508
seed_2000,ttc,plus20pct,0.25,0.30303030303030304,0.5133824565716045,0.5615489611462474,0.04816650457464289,0.04816650457464289,0.4939251940970944,0.5417324218910827,0.04780722779398833,0.04780722779398833,0.4765671813065528,0.5256249492990315,0.049057767992478685,0.049057767992478685
seed_2000,ttc,minus20pct,0.25,0.22471910112359555,0.5133824565716045,0.5303173597734303,0.01693490320182578,0.01693490320182578,0.4939251940970944,0.5062667378257931,0.012341543728698723,0.012341543728698723,0.4765671813065528,0.48963120376503383,0.01306402245848104,0.01306402245848104
seed_2000,headway,plus20pct,0.15,0.18556701030927836,0.5133824565716045,0.5545899276171842,0.04120747104557965,0.04120747104557965,0.4939251940970944,0.5342643495903541,0.04033915549325967,0.04033915549325967,0.4765671813065528,0.5179668970886854,0.041399715782132585,0.041399715782132585
seed_2000,headway,minus20pct,0.15,0.13186813186813187,0.5133824565716045,0.5366618526632407,0.023279396091636206,0.023279396091636206,0.4939251940970944,0.5165215086781618,0.022596314581067423,0.022596314581067423,0.4765671813065528,0.49702033642636223,0.02045315511980944,0.02045315511980944
seed_2000,lane_offset,plus20pct,0.12,0.14937759336099585,0.5133824565716045,0.5347060266069301,0.02132357003532559,0.02132357003532559,0.4939251940970944,0.5155230548179504,0.021597860720855955,0.021597860720855955,0.4765671813065528,0.49586015761172014,0.019292976305167353,0.019292976305167353
seed_2000,lane_offset,minus20pct,0.12,0.10480349344978167,0.5133824565716045,0.5571694224445534,0.043786965872948835,0.043786965872948835,0.4939251940970944,0.5365388184881431,0.04261362439104871,0.04261362439104871,0.4765671813065528,0.5183769010342273,0.0418097197276745,0.0418097197276745
seed_2000,steer_var,plus20pct,0.08,0.10041841004184102,0.5133824565716045,0.541422933691093,0.028040477119488427,0.028040477119488427,0.4939251940970944,0.5196635895481243,0.025738395451029905,0.025738395451029905,0.4765671813065528,0.5023473423962284,0.02578016108967557,0.02578016108967557
seed_2000,steer_var,minus20pct,0.08,0.06926406926406925,0.5133824565716045,0.5510089998294214,0.03762654325781689,0.03762654325781689,0.4939251940970944,0.5310182355276524,0.03709304143055797,0.03709304143055797,0.4765671813065528,0.5144369926168312,0.03786981131027839,0.03786981131027839
seed_2000,density,plus20pct,0.06,0.07563025210084033,0.5133824565716045,0.5415866140458031,0.028204157474198577,0.028204157474198577,0.4939251940970944,0.5202557622589152,0.026330568161820833,0.026330568161820833,0.4765671813065528,0.5020026575693303,0.02543547626277748,0.02543547626277748
seed_2000,density,minus20pct,0.06,0.05172413793103448,0.5133824565716045,0.5506965563581421,0.03731409978653755,0.03731409978653755,0.4939251940970944,0.5304141101127774,0.03648891601568299,0.03648891601568299,0.4765671813065528,0.5119345750758055,0.03536739376925274,0.03536739376925274
seed_3000,speed,plus20pct,0.08,0.10041841004184102,0.51557445200483,0.5442778668497212,0.02870341484489125,0.02870341484489125,0.4885237491756397,0.5130400811196542,0.02451633194401448,0.02451633194401448,0.4710872393098975,0.49568956237624584,0.024602323066348353,0.024602323066348353
seed_3000,speed,minus20pct,0.08,0.06926406926406926,0.51557445200483,0.5528603011068368,0.03728584910200683,0.03728584910200683,0.4885237491756397,0.5243449845208943,0.03582123534525461,0.03582123534525461,0.4710872393098975,0.5073695637554193,0.03628232444552182,0.03628232444552182
seed_3000,accel,plus20pct,0.1,0.125,0.51557445200483,0.5460834014966456,0.030508949491815596,0.030508949491815596,0.4885237491756397,0.5147816846256091,0.02625793544996946,0.02625793544996946,0.4710872393098975,0.49671153100517723,0.025624291695279744,0.025624291695279744
seed_3000,accel,minus20pct,0.1,0.08695652173913046,0.51557445200483,0.5515597299490915,0.03598527794426154,0.03598527794426154,0.4885237491756397,0.5255369366407108,0.037013187465071096,0.037013187465071096,0.4710872393098975,0.507232366212971,0.03614512690307348,0.03614512690307348
seed_3000,jerk,plus20pct,0.1,0.125,0.51557445200483,0.5512925123025473,0.03571806029771729,0.03571806029771729,0.4885237491756397,0.522641526065987,0.03411777689034734,0.03411777689034734,0.4710872393098975,0.5069565566463495,0.035869317336452045,0.035869317336452045
seed_3000,jerk,minus20pct,0.1,0.08695652173913046,0.51557445200483,0.5428943615691642,0.027319909564334166,0.027319909564334166,0.4885237491756397,0.5163406459913662,0.02781689681572652,0.02781689681572652,0.4710872393098975,0.498419127328345,0.027331888018447492,0.027331888018447492
seed_3000,ttc,plus20pct,0.25,0.30303030303030304,0.51557445200483,0.5647736938349387,0.04919924183010871,0.04919924183010871,0.4885237491756397,0.5359161180533298,0.04739236887769016,0.04739236887769016,0.4710872393098975,0.5186379054673176,0.047550666157420096,0.047550666157420096
seed_3000,ttc,minus20pct,0.25,0.22471910112359555,0.51557445200483,0.5317324471221742,0.01615799511734417,0.01615799511734417,0.4885237491756397,0.5018130398390438,0.013289290663404119,0.013289290663404119,0.4710872393098975,0.48574931742016675,0.014662078110269261,0.014662078110269261
seed_3000,headway,plus20pct,0.15,0.18556701030927836,0.51557445200483,0.5571953053815419,0.04162085337671195,0.04162085337671195,0.4885237491756397,0.5301344666914426,0.04161071751580292,0.04161071751580292,0.4710872393098975,0.5132721647882941,0.042184925478396584,0.042184925478396584
seed_3000,headway,minus20pct,0.15,0.13186813186813187,0.51557445200483,0.5393263579053134,0.023751905900483372,0.023751905900483372,0.4885237491756397,0.50836325043027,0.0198395012546303,0.0198395012546303,0.4710872393098975,0.4911949936171466,0.020107754307249093,0.020107754307249093
seed_3000,lane_offset,plus20pct,0.12,0.14937759336099585,0.51557445200483,0.5379355483936956,0.02236109638886563,0.02236109638886563,0.4885237491756397,0.5091718016218659,0.02064805244622625,0.02064805244622625,0.4710872393098975,0.48998884737510706,0.018901608065209574,0.018901608065209574
seed_3000,lane_offset,minus20pct,0.12,0.10480349344978167,0.51557445200483,0.5613036098792842,0.045729157874454196,0.045729157874454196,0.4885237491756397,0.5288957156785384,0.04037196650289876,0.04037196650289876,0.4710872393098975,0.5135338022883483,0.04244656297845084,0.04244656297845084
seed_3000,steer_var,plus20pct,0.08,0.10041841004184102,0.51557445200483,0.5426464518710669,0.027071999866236873,0.027071999866236873,0.4885237491756397,0.5127028175667327,0.024179068391093073,0.024179068391093073,0.4710872393098975,0.4962449994521783,0.025157760142280827,0.025157760142280827
seed_3000,steer_var,minus20pct,0.08,0.06926406926406925,0.51557445200483,0.5543378324267195,0.03876338042188954,0.03876338042188954,0.4885237491756397,0.5254527419325218,0.036928992756882106,0.036928992756882106,0.4710872393098975,0.5087368992467969,0.03764965993689939,0.03764965993689939
seed_3000,density,plus20pct,0.06,0.07563025210084033,0.51557445200483,0.543075026126509,0.027500574121679056,0.027500574121679056,0.4885237491756397,0.5155109002178565,0.026987151042216828,0.026987151042216828,0.4710872393098975,0.49660246401592306,0.025515224706025574,0.025515224706025574
seed_3000,density,minus20pct,0.06,0.05172413793103448,0.51557445200483,0.5540672239782037,0.03849277197337375,0.03849277197337375,0.4885237491756397,0.5239954193703013,0.035471670194661575,0.035471670194661575,0.4710872393098975,0.5061286201798453,0.03504138086994779,0.03504138086994779
